Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Issuer Type
310,797661E35,CA San Francisco Ba...,2.87,28.60MM,09/09/2025,08/01/2034,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
311,861431EC4,CA Stockton-East Wat...,4.55,6.98MM,11/18/2025,03/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Conservation,,
312,13013JGK6,CA California Commu...,4.29,8.23MM,07/25/2025,01/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,GASFWD,,,,
313,13034A8B9,CA California Infrast...,4.08,29.87MM,12/18/2025,10/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
314,25156SJMO,CA Deutsche Bank Sp...,,15.00MM,05/02/2025,05/15/2051,FED & ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
315,797661D51,CA San Francisco Ba...,1.96,21.34MM,09/09/2025,08/01/2028,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
316,271014560,CA East Bay Municipa...,3.84,11.52MM,05/15/2025,06/01/2041,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,No,No,Yes,Yes,WTRSWR,Sustainable Water,Conservation|Infrastructure,,
317,5444456E4,CA City of Los Angel...,4.34,44.39MM,04/22/2025,05/15/2043,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Clean Transportation,Gree...,Public,LEED Certified
318,88035PHQ4,CA Tender Option Bo...,,14.00MM,05/13/2025,11/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,GASFWD,,,,
319,072024J94,CA Bay Area Toll Aut...,4.3,32.90MM,06/18/2025,04/01/2044,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
320,5444452V0,CA City of Los Angel...,4.44,50.88MM,04/03/2025,05/15/2040,AMT/ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
321,88035M7N9,CA Tender Option Bo...,,2.40MM,04/25/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
322,072024H54,CA Bay Area Toll Aut...,2.9,31.20MM,06/18/2025,04/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
323,13013JGH3,CA California Commu...,4.13,7.84MM,07/25/2025,01/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,GASFWD,,,,
324,13013JGP5,CA California Commu...,4.6,9.08MM,07/25/2025,01/01/2034,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,GASFWD,,,,
325,797661F42,CA San Francisco Ba...,4.29,44.37MM,09/09/2025,08/01/2043,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
326,5444452S7,CA City of Los Angel...,4.32,42.50MM,04/03/2025,05/15/2037,AMT/ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
327) 797661D44,CA,San Francisco Ba...,1.95,20.33MM,09/09/2025,08/01/2027,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes|Yes|Yes|No|Yes|Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),,,,,,
328) 797661G82,CA,San Francisco Ba...,2.87,25.79MM,09/09/2025,08/01/2034,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,No,,,,,,GODIST,,,,
329) 79771FGP6,CA,City of San Franci...,4.1,1.00MM,04/17/2025,11/01/2046,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes|Yes|Yes|Yes|Yes|Yes,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
330) 959215GC2,CA,Western Placer U...,2.96,295.00M,08/05/2025,08/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes|No|No|No|No|No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar,,,,,
331) 13013JGJ9,CA,California Commu...,4.16,7.90MM,07/25/2025,07/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Financing ...,No,,,,,,GASFWD,,,,
332) 13034A8A1,CA,California Infrast...,4,28.72MM,12/18/2025,10/01/2044,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes|No|No|No|No|No,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
333) 25156SJN8,CA,Deutsche Bank Sp...,,,05/02/2025,05/15/2051,FED & ST TAX-EXEMPT,REFUNDING...,Financing ...,No,,,,,,ARPT,,,,
334) 797661E92,CA,San Francisco Ba...,3.88,38.33MM,09/09/2025,08/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes|Yes|Yes|No|Yes|Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),,,,,,
335) 797661G58,CA,San Francisco Ba...,2.32,19.52MM,09/09/2025,08/01/2031,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,No,,,,,,GODIST,,,,
336) 79771FGE1,CA,City of San Franci...,3.39,13.50MM,04/17/2025,11/01/2037,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes|Yes|Yes|Yes|Yes|Yes,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
337) 79771FGL5,CA,City of San Franci...,3.91,3.28MM,04/17/2025,11/01/2043,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes|Yes|Yes|Yes|Yes|Yes,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
338) 88035PBN7,CA,Tender Option Bo...,,1.00MM,05/01/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
339) 88035PGV4,CA,Tender Option Bo...,,27.31MM,05/09/2025,11/15/2032,AMT/ST TAX-EXEMPT,REFUNDING...,Financing ...,No,,,,,,ARPT,,,,
340) 88035PXZ6,CA,Tender Option Bo...,,3.00MM,06/12/2025,06/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing ...,No,,,,,,WTRSWR,,,,
341) 13013JGM2,CA,California Commu...,4.46,8.65MM,07/25/2025,01/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Financing ...,No,,,,,,GASFWD,,,,
342) 271014T28,CA,East Bay Municipa...,4.1,14.00MM,05/15/2025,06/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes|Yes|No|No|Yes|Yes,WTRSWR,Sustainable Water,Conservation,Infrastructure,,,,,,
343) 5444456F1,CA,City of Los Angel...,4.43,46.61MM,04/22/2025,05/15/2044,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes|Yes|Yes|Yes|Yes|Yes,ARPT,Clean Transportation,Gree...,Public,LEED Certified,,,,,
344) 797661D77,CA,San Francisco Ba...,2.11,23.53MM,09/09/2025,08/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes|Yes|Yes|No|Yes|Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),,,,,,
345) 797661E84,CA,San Francisco Ba...,3.79,36.50MM,09/09/2025,08/01/2039,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes|Yes|Yes|No|Yes|Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),,,,,,
346) 861431DG6,CA,Stockton-East Wat...,2.54,1.00MM,11/18/2025,03/01/2027,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes|No|No|No|No|No,WTRSWR,Sustainable Water,Conservation,,,,,,,
347) 959215GS7,CA,Western Placer U...,2.66,280.00M,08/05/2025,08/01/2027,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes|No|No|No|No|No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar,,,,,
348) 959215GU2,CA,Western Placer U...,3.64,330.00M,08/05/2025,08/01/2035,FED & ST TAX-EXEMPT,NEW MONEY,Education,No,,,,,,APPROP,,,,
349) 13034A7H7,CA,California Infrast...,2.1,12.53MM,12/18/2025,10/01/2027,FED & ST TAX-EXEMPT,NEW MONEY,Financing ...,Yes|No|No|No|No|No,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
350) 13034A7R5,CA,California Infrast...,2.3,18.52MM,12/18/2025,10/01/2035,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes|No|No|No|No|No,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
351) 5444456A2,CA,City of Los Angel...,3.94,36.52MM,04/22/2025,05/15/2039,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes|Yes|Yes|Yes|Yes|Yes,ARPT,Clean Transportation,Gree...,Public,LEED Certified,,,,,
352) 786005M70,CA,Sacramento Muni...,3.09,6.08MM,06/26/2025,09/15/2034,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes|Yes|Yes|Yes|Yes|No,PUBPWR,Renewable Energy,,,,,,,,
353) 797661E68,CA,San Francisco Ba...,3.5,33.11MM,09/09/2025,08/01/2037,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes|Yes|Yes|No|Yes|Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),,,,,,
354) 797661G33,CA,San Francisco Ba...,2.01,16.01MM,09/09/2025,08/01/2029,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,No,,,,,,GODIST,,,,
355) 797669A57,CA,San Francisco Ba...,2.49,4.53MM,09/11/2025,07/01/2032,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes|Yes|Yes|No|Yes|Yes,SALESTAX,Clean Transportation,Public,Rail (Non Passenger),,,,,,
356) 79771FGB7,CA,City of San Franci...,3.07,48.68MM,04/17/2025,11/01/2034,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes|Yes|Yes|Yes|Yes|Yes,WTRSWR,Sustainable Water,Infrastructure,,,,,,,
357) 88035MW84,CA,Tender Option Bo...,11.14MM,04/15/2025,01/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,GASFWD,,Infrastructure,
358) 88035PBQ0,CA,Tender Option Bo...,605.00M,05/01/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,ARPT,,,
359) 13034A7P9,CA,California Infrast...,2.16,16.79MM,12/18/2025,10/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
360) 797661085,CA,San Francisco Ba...,2.32,24.71MM,09/09/2025,08/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
361) 797661G25,CA,San Francisco Ba...,1.96,23.93MM,09/09/2025,08/01/2028,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,No,,,,,,,,GODIST,,
362) 797661G41,CA,San Francisco Ba...,2.11,17.70MM,09/09/2025,08/01/2030,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,No,,,,,,,,GODIST,,
363) 79771FGA9,CA,City of San Franci...,2.97,41.43MM,04/17/2025,11/01/2033,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Sustainable Water,Infrastructure,,
364) 79771FGM3,CA,City of San Franci...,4,915.00M,04/17/2025,11/01/2044,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Sustainable Water,Infrastructure,,
365) 959215GA6,CA,Western Placer U...,2.69,365.00M,08/05/2025,08/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes,No,No,No,No,No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar
366) 072024H96,CA,Bay Area Toll Aut...,3.38,41.35MM,06/18/2025,04/01/2036,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
367) 13013JGL4,CA,California Commu...,4.34,8.48MM,07/25/2025,07/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,GASFWD,,
368) 13034A7M6,CA,California Infrast...,2.02,15.23MM,12/18/2025,10/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
369) 5444452X6,CA,City of Los Angel...,4.62,40.71MM,04/03/2025,05/15/2042,AMT/ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
370) 5444455S4,CA,City of Los Angel...,3.33,24.72MM,04/22/2025,05/15/2031,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Clean Transportation,Gree...,Public,LEED Certified
371) 786005N38,CA,Sacramento Muni...,3.73,12.93MM,06/26/2025,09/15/2038,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes,Yes,Yes,Yes,Yes,No,PUBPWR,Renewable Energy,,,
372) 797661F26,CA,San Francisco Ba...,4.01,40.24MM,09/09/2025,08/01/2041,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
373) 88035PHT8,CA,Tender Option Bo...,,13.85MM,05/13/2025,02/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,GASFWD,,
374) 88035PMQ8,CA,Tender Option Bo...,100....,8.00MM,05/21/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,ARPT,,
375) 88035R5D2,CA,Tender Option Bo...,,10.00MM,10/22/2025,10/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,GASFWD,,
376) 88035RMG6,CA,Tender Option Bo...,,6.00MM,08/13/2025,07/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,SCD,,
377) 072024J60,CA,Bay Area Toll Aut...,4,26.06MM,06/18/2025,04/01/2041,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
378) 13013JGU4,CA,California Commu...,3.12,6.29MM,09/26/2025,10/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,,,
379) 13034A7Z7,CA,California Infrast...,3.91,27.35MM,12/18/2025,10/01/2043,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
380) 271014552,CA,East Bay Municipa...,3.73,10.97MM,05/15/2025,06/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,No,No,Yes,Yes,WTRSWR,Sustainable Water,Conservation,Infrastructure,
381) 271014586,CA,East Bay Municipa...,4,12.70MM,05/15/2025,06/01/2043,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,No,No,Yes,Yes,WTRSWR,Sustainable Water,Conservation,Infrastructure,
382) 5444452Z1,CA,City of Los Angel...,4.76,45.09MM,04/03/2025,05/15/2044,AMT/ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
383) 5444456C8,CA,City of Los Angel...,4.17,40.26MM,04/22/2025,05/15/2041,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Clean Transportation,Gree...,Public,LEED Certified
384) 797661F91,CA,San Francisco Ba...,1.95,22.80MM,09/09/2025,08/01/2027,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,No,,,,,,,,GODIST,,
385) 88035PQZ4,CA,Tender Option Bo...,,1.34MM,05/29/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,ARPT,,
386,88035PVW5,CA Tender Option Bo...,,3.19MM,06/09/2025,01/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,GASFWD,,
387,88035PX52,CA Tender Option Bo...,,46.01MM,07/09/2025,08/01/2047,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,GODIST,,
388,88035RG73,CA Tender Option Bo...,,9.20MM,09/23/2025,08/01/2052,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,GASFWD,,
389,88035RKZ6,CA Tender Option Bo...,,4.67MM,08/12/2025,02/01/2055,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,GODIST,,
390,88035RLC6,CA Tender Option Bo...,,3.68MM,08/12/2025,01/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,GASFWD,,
391,959215GE8,CA Western Placer U...,3.26,405.00M,08/05/2025,08/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes,No,No,No,No,No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar
392,959215GMO,CA Western Placer U...,4.31,820.00M,08/05/2025,08/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes,No,No,No,No,No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar
393,072024J86,CA Bay Area Toll Aut...,4.23,25.00MM,06/18/2025,04/01/2043,FED & ST TAX-EXEMPT,NEW MONEY,Transporta,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
394,072024K27,CA Bay Area Toll Aut...,4.35,26.75MM,06/18/2025,04/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Transporta,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
395,13013JGZ3,CA California Commu...,3.68,6.70MM,09/26/2025,04/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Financing,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,,,
396,13013JHF6,CA California Commu...,3.78,735.00M,10/14/2025,05/01/2035,FED & ST TAX-EXEMPT,NEW MONEY,Financing,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,Wind,,
397,25156SHV2,CA Deutsche Bank Sp...,,22.99MM,04/07/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING,Financing,No,,,,,,,,ARPT,,
398,5444452F5,CA City of Los Angel...,3.41,9.41MM,04/03/2025,05/15/2026,AMT/ST TAX-EXEMPT,REFUNDING,Transporta,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
399,5444452K4,CA City of Los Angel...,3.8,32.42MM,04/03/2025,05/15/2030,AMT/ST TAX-EXEMPT,REFUNDING,Transporta,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
400,5444452N8,CA City of Los Angel...,4.03,35.83MM,04/03/2025,05/15/2033,AMT/ST TAX-EXEMPT,REFUNDING,Transporta,Yes,Yes,Yes,Yes,Yes,Yes,ARPT,Energy Efficiency,Green B...,LEED Certified,
401,797661D69,CA San Francisco Ba...,2.01,22.41MM,09/09/2025,08/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Transporta,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
402,797661F34,CA San Francisco Ba...,4.17,42.26MM,09/09/2025,08/01/2042,FED & ST TAX-EXEMPT,NEW MONEY,Transporta,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
403,797669A73,CA San Francisco Ba...,2.85,4.98MM,09/11/2025,07/01/2034,FED & ST TAX-EXEMPT,REFUNDING,Transporta,Yes,Yes,Yes,No,Yes,Yes,SALESTAX,Clean Transportation,Public,Rail (Non Passenger),
404,79811YADO,CA San Joaquin Valle...,4.02,5.57MM,02/13/2025,07/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,Solar,Wind,
405,840528AV5,CA South Tahoe Publ...,4.4,5.66MM,01/30/2025,08/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
406,88035J7C0,CA Tender Option Bo...,,2.00MM,01/13/2025,03/01/2051,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,PUBTRAN,,
407,88035PRS9,CA Tender Option Bo...,,24.24MM,05/29/2025,05/15/2047,AMT/ST TAX-EXEMPT,REFUNDING,Financing,No,,,,,,,,ARPT,,
408,88035PVT2,CA Tender Option Bo...,,2.00MM,06/09/2025,02/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,GASFWD,,
409,88035RMH4,CA Tender Option Bo...,,7.37MM,08/13/2025,07/01/2046,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,SCD,,
410,88035RMJ0,CA Tender Option Bo...,,2.28MM,08/13/2025,07/01/2047,FED & ST TAX-EXEMPT,NEW MONEY,Financing,No,,,,,,,,SCD,,
411,88035RY81,CA Tender Option Bo...,,14.40MM,10/09/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING,Financing,No,,,,,,,,ARPT,,
412,959215GB4,CA Western Placer U...,2.79,365.00M,08/05/2025,08/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes,No,No,No,No,No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar
413,959215GDO,CA Western Placer U...,3.14,350.00M,08/05/2025,08/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes,No,No,No,No,No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar
414,959215GH1,CA Western Placer U...,3.81,590.00M,08/05/2025,08/01/2036,FED & ST TAX-EXEMPT,NEW MONEY,Education,Yes,No,No,No,No,No,APPROP,Clean Transportation,Ren...,Infrastructure,Solar
415,072024H70,CA Bay Area Toll Aut...,3.13,34.49MM,06/18/2025,04/01/2034,FED & ST TAX-EXEMPT,NEW MONEY,Transporta,Yes,Yes,Yes,Yes,Yes,Yes,TOLL,Clean Transportation,,,
416),13013JGWO,CA California Commu...,3.28,6.59MM,09/26/2025,10/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,,,
417),13013JHB5,CA California Commu...,3.85,6.88MM,09/26/2025,04/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,,,
418),13013JHC3,CA California Commu...,3.85,7.60MM,09/26/2025,10/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,Yes,Yes,Yes,Yes,No,GASFWD,Renewable Energy,,,
419),13034A7S3,CA California Infrast...,2.42,19.44MM,12/18/2025,10/01/2036,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
420),13034A7W4,CA California Infrast...,3.12,23.63MM,12/18/2025,10/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
421),271012HL3,CA East Bay Municipa...,4.13,1.54MM,05/22/2025,06/01/2044,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,No,No,Yes,Yes,WTRSWR,Sustainable Water,Infrastructure,,
422),271012HM1,CA East Bay Municipa...,4.19,1.61MM,05/22/2025,06/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,No,No,Yes,Yes,WTRSWR,Sustainable Water,Infrastructure,,
423),271012HN9,CA East Bay Municipa...,4.35,9.34MM,05/22/2025,06/01/2050,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,No,No,Yes,Yes,WTRSWR,Sustainable Water,Infrastructure,,
424),797661E27,CA San Francisco Ba...,2.67,27.24MM,09/09/2025,08/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
425),797661E76,CA San Francisco Ba...,3.65,34.77MM,09/09/2025,08/01/2038,FED & ST TAX-EXEMPT,NEW MONEY,Transporta...,Yes,Yes,Yes,No,Yes,Yes,GODIST,Clean Transportation,Public,Rail (Non Passenger),
426),797669A24,CA San Francisco Ba...,2,3.93MM,09/11/2025,07/01/2029,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,No,Yes,Yes,SALESTAX,Clean Transportation,Public,Rail (Non Passenger),
427),797669ZY7,CA San Francisco Ba...,1.96,18.76MM,09/11/2025,07/01/2027,FED & ST TAX-EXEMPT,REFUNDING...,Transporta...,Yes,Yes,Yes,No,Yes,Yes,SALESTAX,Clean Transportation,Public,Rail (Non Passenger),
428),79771FGG6,CA City of San Franci...,3.49,9.85MM,04/17/2025,11/01/2039,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Sustainable Water,Infrastructure,,
429),840528ATO,CA South Tahoe Publ...,4.17,4.82MM,01/30/2025,08/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
430),840528AU7,CA South Tahoe Publ...,4.3,3.61MM,01/30/2025,08/01/2049,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,
431),861431DL5,CA Stockton-East Wat...,2.57,170.00M,11/18/2025,03/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Conservation,,
432),861431DZ4,CA Stockton-East Wat...,4.1,1.15MM,11/18/2025,03/01/2044,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,Conservation,,
433),88035MD36,CA Tender Option Bo...,,8.80MM,04/04/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
434),88035MD44,CA Tender Option Bo...,,2.20MM,04/04/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
435),88035P3Y2,CA Tender Option Bo...,,3.96MM,07/15/2025,05/15/2048,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
436),88035P4E5,CA Tender Option Bo...,,2.00MM,07/16/2025,05/15/2047,AMT/ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,ARPT,,,,
